序号,公司名称,职位名称,薪资范围,工作地点,数据来源,爬取方式,爬取时间,平均薪资(k)
3,华为科技有限公司,【ODai软件开发 - Python,15-30K·14薪,杭州·滨江区·长河,BOSS直聘,BOSS直聘-手动验证版,2025-12-02 21:35:16,22.5
4,杭州橙风信息科技,python 工程师,14-28K,杭州·萧山区·奥体中心,BOSS直聘,BOSS直聘-手动验证版,2025-12-02 21:35:16,21.0
7,杭州职映科技有限公司,ai应用工程师/python,28-40K·15薪,杭州·上城区·九堡,BOSS直聘,BOSS直聘-手动验证版,2025-12-02 21:35:16,34.0
10,讯盟科技,AI应用后端工程师（python）,30-40K·16薪,杭州·西湖区·西溪,BOSS直聘,BOSS直聘-手动验证版,2025-12-02 21:35:16,35.0
11,帕奇拉科技,Python Web 初级工程师,7-10K·13薪,杭州·拱墅区·水晶城,BOSS直聘,BOSS直聘-手动验证版,2025-12-02 21:35:16,8.5
15,玄峰科技,Python 实习生（AI agent方向）,,杭州·余杭区·仓前,BOSS直聘,BOSS直聘-手动验证版,2025-12-02 21:35:16,
16,华为终端有限公司,AI Infra工程师（Kubernetes/Python & Go）,15-30K·14薪,杭州·滨江区·长河,BOSS直聘,BOSS直聘-手动验证版,2025-12-02 21:35:16,22.5
