电影名称,评分,评价人数,引用语,数据类别,数据状态,评分类别
寄生虫,8.8,1527826,无,优质电影,已清洗,优秀
蝙蝠侠：黑暗骑士崛起,8.9,803548,无,优质电影,已清洗,优秀
天书奇谭,9.2,327008,无,高评分电影,已清洗,极好
7号房的礼物,8.9,615018,无,优质电影,已清洗,优秀
超能陆战队,8.8,1129634,无,优质电影,已清洗,优秀
爱在黎明破晓前,8.8,786585,无,优质电影,已清洗,优秀
第六感,8.9,627903,无,优质电影,已清洗,优秀
爱在日落黄昏时,8.9,643070,无,优质电影,已清洗,优秀
被嫌弃的松子的一生,8.8,766544,无,优质电影,已清洗,优秀
茶馆,9.6,201439,无,高评分电影,已清洗,极好
重庆森林,8.8,911797,无,优质电影,已清洗,优秀
未麻的部屋,9.1,416571,无,高评分电影,已清洗,极好
哈利·波特与火焰杯,8.8,787244,无,优质电影,已清洗,优秀
入殓师,8.9,736807,无,优质电影,已清洗,优秀
头脑特工队,8.8,787576,无,优质电影,已清洗,优秀
借东西的小人阿莉埃蒂,8.9,619780,无,优质电影,已清洗,优秀
菊次郎的夏天,8.9,666336,无,优质电影,已清洗,优秀
剪刀手爱德华,8.7,1111279,无,优质电影,已清洗,优秀
断背山,8.8,772804,无,优质电影,已清洗,优秀
勇敢的心,8.9,600536,无,优质电影,已清洗,优秀
时空恋旅人,8.8,778779,无,优质电影,已清洗,优秀
消失的爱人,8.7,1060540,无,优质电影,已清洗,优秀
倩女幽魂,8.8,827118,无,优质电影,已清洗,优秀
无人知晓,9.1,367478,无,高评分电影,已清洗,极好
驯龙高手,8.8,852070,无,优质电影,已清洗,优秀
花样年华,8.8,790898,无,优质电影,已清洗,优秀
傲慢与偏见,8.7,915600,无,优质电影,已清洗,优秀
新世界,8.9,518025,无,优质电影,已清洗,优秀
完美的世界,9.1,356147,无,高评分电影,已清洗,极好
阳光灿烂的日子,8.8,687192,无,优质电影,已清洗,优秀
一个叫欧维的男人决定去死,8.9,559353,无,优质电影,已清洗,优秀
